"endtime","starttime","censored","model"
50548,31073,TRUE,16
50550,31076,TRUE,16
56573,30552,TRUE,16
53302,29314,TRUE,16
50040,30547,TRUE,16
13346,6355,TRUE,16
50324,31548,TRUE,16
44899,31166,FALSE,16
44282,29888,TRUE,16
50041,30547,TRUE,16
53329,29341,TRUE,16
52141,29346,TRUE,16
45057,29897,TRUE,16
44580,31181,FALSE,16
52610,29872,TRUE,16
44306,29895,TRUE,16
52609,29871,TRUE,16
48678,29894,TRUE,16
50324,31550,TRUE,16
50075,30559,TRUE,16
50704,31253,TRUE,16
54527,30518,TRUE,16
50776,31285,TRUE,16
52132,29338,TRUE,16
47209,29341,TRUE,16
40735,31180,FALSE,16
50766,31275,TRUE,16
52786,30489,TRUE,16
50534,31060,TRUE,16
52804,30505,TRUE,16
52803,30505,TRUE,16
31271,30505,FALSE,16
50776,31285,TRUE,16
50077,30564,TRUE,16
49311,26917,TRUE,16
50324,31550,TRUE,16
56575,30554,TRUE,16
50655,31180,TRUE,16
31856,31179,FALSE,16
56583,30562,TRUE,16
52794,30495,TRUE,16
50846,31395,TRUE,16
50657,31181,TRUE,16
50689,31268,TRUE,16
53919,31402,TRUE,16
44089,27525,TRUE,16
46228,27167,TRUE,16
53328,29340,TRUE,16
52137,29341,TRUE,16
52134,29341,TRUE,16
50641,31174,TRUE,16
50845,31394,TRUE,16
34547,31402,TRUE,16
50548,31074,TRUE,16
50705,31254,TRUE,16
50527,31049,TRUE,16
50659,31183,TRUE,16
50531,31054,TRUE,16
48452,31267,FALSE,16
56579,30557,TRUE,16
54524,30517,TRUE,16
50079,30564,TRUE,16
50079,30565,TRUE,16
54522,30514,TRUE,16
50081,30565,TRUE,16
52596,29857,TRUE,16
50541,31068,TRUE,16
52804,30506,TRUE,16
50717,31267,TRUE,16
52571,30176,TRUE,16
50658,31182,TRUE,16
52794,30496,TRUE,16
46250,31073,FALSE,16
50327,31551,TRUE,16
51739,30508,FALSE,16
50082,30566,TRUE,16
52132,29338,TRUE,16
52141,29346,TRUE,16
53917,31402,TRUE,16
56585,30563,TRUE,16
34216,31237,FALSE,16
50633,31166,TRUE,16
50708,31257,TRUE,16
34320,31173,TRUE,16
53920,31403,TRUE,16
53919,31402,TRUE,16
53915,31400,TRUE,16
41225,30493,FALSE,16
50853,31402,TRUE,16
50707,31265,TRUE,16
54516,30509,TRUE,16
50545,31072,TRUE,16
50714,31265,TRUE,16
52759,30462,TRUE,16
52794,30495,TRUE,16
43446,31054,FALSE,16
53920,31402,TRUE,16
50170,30648,TRUE,16
47216,29347,TRUE,16
29163,8728,TRUE,16
50078,30564,TRUE,16
50081,30566,TRUE,16
54515,30508,TRUE,16
54519,30510,TRUE,16
50659,31184,TRUE,16
50767,31276,TRUE,16
50665,31257,TRUE,16
37318,19651,TRUE,16
51169,27520,TRUE,16
37742,19266,FALSE,16
38437,20443,TRUE,16
46987,26916,TRUE,16
42675,25914,TRUE,16
52139,29344,TRUE,16
46636,22648,TRUE,16
53330,29341,TRUE,16
53301,29314,TRUE,16
43637,23202,TRUE,16
25989,12933,TRUE,16
47216,29347,TRUE,16
53328,29340,TRUE,16
53328,29340,TRUE,16
26029,23800,TRUE,20
38137,23853,TRUE,16
48903,27256,TRUE,16
26545,8699,TRUE,16
30549,15303,TRUE,16
44434,21639,TRUE,16
35743,27338,TRUE,16
53331,29342,TRUE,16
49224,24837,TRUE,16
42971,27167,TRUE,16
21969,13449,TRUE,19
49298,24910,TRUE,16
47207,29340,TRUE,16
41526,22988,TRUE,16
50974,27326,TRUE,16
41016,22675,TRUE,16
46447,27169,TRUE,16
23675,15154,TRUE,19
36406,23350,TRUE,16
36845,21525,TRUE,16
46452,27164,TRUE,16
23077,20850,TRUE,19
36729,16772,TRUE,16
41524,18784,TRUE,16
35324,17946,TRUE,16
45159,27524,TRUE,16
18580,7138,TRUE,19
33763,14249,TRUE,16
45479,26342,TRUE,16
30167,23032,TRUE,16
33964,25582,FALSE,16
32719,17991,FALSE,16
31726,16816,TRUE,16
22986,8579,TRUE,16
49499,23536,TRUE,16
28768,11365,TRUE,19
36667,17152,TRUE,16
12681,11366,FALSE,19
43084,25921,TRUE,16
22710,20611,FALSE,16
30718,15140,FALSE,16
3504,1277,TRUE,19
